Job ran on: compute[200-211]
Total execution time (seconds): 7.786603
Total execution time (seconds): 3.896501
Total execution time (seconds): 2.622574
Total execution time (seconds): 1.975239
Total execution time (seconds): 1.586378
Total execution time (seconds): 1.321495
Total execution time (seconds): 1.137771
Total execution time (seconds): 1.006307
Total execution time (seconds): 0.891591
Total execution time (seconds): 0.817507
Total execution time (seconds): 0.742254
Total execution time (seconds): 0.679054
