Job ran on: compute[200-211]
Total execution time (seconds): 0.000030
Total execution time (seconds): 0.000995
Total execution time (seconds): 0.004848
Total execution time (seconds): 0.003828
Total execution time (seconds): 0.004566
Total execution time (seconds): 0.005672
Total execution time (seconds): 0.006341
Total execution time (seconds): 0.010955
Total execution time (seconds): 0.013760
Total execution time (seconds): 0.013277
Total execution time (seconds): 0.019414
Total execution time (seconds): 0.015310
